Boundary Name,Boundary Type,Finish Type,Construction Type,Insulation Details,Received From,Assembly R Value
Adjacent Attic Wall,Standard,,,,res3.1_national_300 - bldg0000145,0.4648516039
Adjacent Ceiling,Standard,,,,res3.1_national_300 - bldg0000007,0.1003609154
Adjacent Floor,Standard,,,,res3.1_national_300 - bldg0000007,0.0457827747
Adjacent Foundation Wall,Crawlspace,,Crawlspace,,res3.1_national_300 - bldg0000145,0.1126770114
Adjacent Foundation Wall,Finished Basement,,Finished Basement,,res3.1_ochre_500 - bldg0000029,0.1919185796
Adjacent Foundation Wall,Unfinished Basement,,Unfinished Basement,,res3.1_national_300 - bldg0000060,0.1126770114
Adjacent Rim Joist,Standard,,,,res3.1_national_300 - bldg0000060,0.4648516039
Adjacent Wall,ConcreteMasonryUnit,,ConcreteMasonryUnit,,res3.1_national_300 - bldg0000153,0.4648516039
Adjacent Wall,StructuralBrick,,StructuralBrick,,res3.1_national_300 - bldg0000021,0.4648516039
Adjacent Wall,WoodStud,,WoodStud,,res3.1_national_300 - bldg0000007,0.4648516039
Attic Floor,Minimal,,,Minimal,Fully_minimal (Denver),87.7640540326
Attic Floor,R-13,,,R-13,res3.1_national_300 - bldg0000003,2.3012561563
Attic Floor,R-19,,,R-19,res3.1_national_300 - bldg0000010,3.3576084628
Attic Floor,R-30,,,R-30,res3.1_national_300 - bldg0000002,5.2932546323
Attic Floor,R-38,,,R-38,res3.1_national_300 - bldg0000005,6.7017144775
Attic Floor,R-49,,,R-49,res3.1_national_300 - bldg0000011,8.6421417462
Attic Floor,R-60,,,R-60,res3.1_ochre_500 - bldg0000046,10.5764311409
Attic Floor,R-7,,,R-7,res3.1_national_300 - bldg0000042,1.2623353111
Attic Floor,Uninsulated,,,Uninsulated,res3.1_national_300 - bldg0000036,0.1003609154
Attic Roof,"asphalt or fiberglass shingles, Unfinished, Uninsulated, Pitched",asphalt or fiberglass shingles,Pitched,"Unfinished, Uninsulated",res3.1_national_300 - bldg0000002,0.2447126284
Attic Roof,"asphalt or fiberglass shingles, Unfinished, Uninsulated, Pitched, Radiant Barrier",asphalt or fiberglass shingles,"Pitched, Radiant Barrier","Unfinished, Uninsulated",res3.1_ochre_500 - bldg0000010,0.2447126284
Attic Roof,"metal surfacing, Unfinished, Uninsulated, Pitched",metal surfacing,Pitched,"Unfinished, Uninsulated",res3.1_national_300 - bldg0000015,0.2447126284
Attic Roof,"metal surfacing, Unfinished, Uninsulated, Pitched, Radiant Barrier",metal surfacing,"Pitched, Radiant Barrier","Unfinished, Uninsulated",res3.1_ochre_500 - bldg0000004,0.2447126284
Attic Roof,"slate or tile shingles, Unfinished, Uninsulated, Pitched",slate or tile shingles,Pitched,"Unfinished, Uninsulated",res3.1_national_300 - bldg0000013,0.2447126284
Attic Roof,"slate or tile shingles, Unfinished, Uninsulated, Pitched, Radiant Barrier",slate or tile shingles,"Pitched, Radiant Barrier","Unfinished, Uninsulated",res3.1_ochre_500 - bldg0000023,0.2447126284
Attic Roof,"wood shingles or shakes, Unfinished, Uninsulated, Pitched",wood shingles or shakes,Pitched,"Unfinished, Uninsulated",res3.1_national_300 - bldg0000005,0.2447126284
Attic Roof,"wood shingles or shakes, Unfinished, Uninsulated, Pitched, Radiant Barrier",wood shingles or shakes,"Pitched, Radiant Barrier","Unfinished, Uninsulated",res3.1_ochre_500 - bldg0000239,0.2447126284
Attic Wall,Minimal,,,Minimal,Copied from Minimal Exterior Wall,87.8815417891
Attic Wall,"WoodStud, aluminum siding, Est. R-3.1",aluminum siding,WoodStud,Est. R-3.1,res3.1_ochre_500 - bldg0000091,0.5499976897
Attic Wall,"WoodStud, asbestos siding, Est. R-3.1",asbestos siding,WoodStud,Est. R-3.1,res3.1_ochre_500 - bldg0000034,0.5499976897
Attic Wall,"WoodStud, brick veneer, Est. R-3.1",brick veneer,WoodStud,Est. R-3.1,res3.1_national_300 - bldg0000011,0.5499976897
Attic Wall,"WoodStud, composite shingle siding, Est. R-3.1",composite shingle siding,WoodStud,Est. R-3.1,res3.1_national_300 - bldg0000102,0.5499976897
Attic Wall,"WoodStud, fiber cement siding, Est. R-3.1",fiber cement siding,WoodStud,Est. R-3.1,res3.1_ochre_500 - bldg0000026,0.5499976897
Attic Wall,"WoodStud, stucco, Est. R-3.1",stucco,WoodStud,Est. R-3.1,res3.1_national_300 - bldg0000010,0.5499976897
Attic Wall,"WoodStud, vinyl siding, Est. R-3.1",vinyl siding,WoodStud,Est. R-3.1,res3.1_national_300 - bldg0000006,0.5499976897
Attic Wall,"WoodStud, wood siding, Est. R-3.1",wood siding,WoodStud,Est. R-3.1,res3.1_national_300 - bldg0000002,0.5499976897
Door,R-2.1,,,R-2.1,res3.1_ochre_500 - bldg0000003,0.2153091730
Door,R-5.0,,,R-5.0,res3.1_national_300 - bldg0000002,0.7261407407
Exterior Wall,"ConcreteMasonryUnit, aluminum siding, 6-in Hollow, R-11",aluminum siding,ConcreteMasonryUnit,"6-in Hollow, R-11",res3.1_ochre_500 - bldg0000066,2.1342493070
Exterior Wall,"ConcreteMasonryUnit, aluminum siding, 6-in Hollow, R-15",aluminum siding,ConcreteMasonryUnit,"6-in Hollow, R-15",res3.1_ochre_500 - bldg0000145,2.5924184593
Exterior Wall,"ConcreteMasonryUnit, aluminum siding, 6-in Hollow, R-19",aluminum siding,ConcreteMasonryUnit,"6-in Hollow, R-19",res3.1_ochre_500 - bldg0000141,3.0144582454
Exterior Wall,"ConcreteMasonryUnit, aluminum siding, 6-in Hollow, R-7",aluminum siding,ConcreteMasonryUnit,"6-in Hollow, R-7",res3.1_ochre_500 - bldg0000259,1.6062583133
Exterior Wall,"ConcreteMasonryUnit, aluminum siding, 6-in Hollow, Uninsulated",aluminum siding,ConcreteMasonryUnit,"6-in Hollow, Uninsulated",res3.1_ochre_500 - bldg0000085,0.6556693771
Exterior Wall,"ConcreteMasonryUnit, asbestos siding, 6-in Hollow, R-11",asbestos siding,ConcreteMasonryUnit,"6-in Hollow, R-11",MF_300 - bldg0000027,2.1342493070
Exterior Wall,"ConcreteMasonryUnit, asbestos siding, 6-in Hollow, R-15",asbestos siding,ConcreteMasonryUnit,"6-in Hollow, R-15",res3.1_ochre_500 - bldg0000103,2.5924184593
